Tiempo	Ca	Cb	Cc	Cd	P_Estimador	q	qc	T	T0	Tc	Tc0
281.5000000000058	0.076269	3.2700299999999998	1.119385	0.267158	2812.092052	1.056934	13.390020000000002	26.696777	15.985107000000001	17.388916000000002	15.863037
281.5833333333391	0.076331	3.270338	1.119092	0.26711999999999997	2814.200943	1.059717	12.217221	27.032471	16.046143	17.327881	15.893555
281.66666666667237	0.07611799999999999	3.2708369999999998	1.118858	0.26709299999999997	2820.595192	1.065283	12.792557	26.727295	16.320801	17.327881	15.893555
281.75000000000574	0.076241	3.271102	1.118558	0.26705	2804.733796	1.066211	13.301507999999998	26.818848	16.015625	17.358398	16.015625
281.83333333333906	0.076558	3.27125	1.1182020000000001	0.266995	2808.576456	1.066211	13.242498000000001	26.635741999999997	15.802001999999998	17.449951000000002	15.985107000000001
281.91666666667237	0.075723	3.272002	1.118262	0.267006	2807.706041	1.077344	13.677689	26.727295	15.985107000000001	17.510986	15.95459
282.0000000000057	0.076166	3.272034	1.1179270000000001	0.266936	2789.198953	1.074561	14.120254999999998	26.574707	16.107178	17.419434	15.95459
282.083333333339	0.076311	3.2722759999999997	1.117632	0.266891	2794.008196	1.058789	12.689291	26.635741999999997	16.809082	17.388916000000002	15.924072
282.1666666666723	0.076615	3.272432	1.117272	0.26684	2797.410938	1.0866209999999998	13.626056	26.605225	16.046143	17.327881	15.985107000000001
282.2500000000056	0.076757	3.2727169999999997	1.116916	0.266805	2835.533822	1.063428	14.09075	26.696777	16.412354	17.419434	15.95459
282.33333333333894	0.076652	3.273132	1.11665	0.266783	2818.748518	1.076416	14.053869	26.635741999999997	16.07666	17.419434	15.893555
282.41666666667226	0.076908	3.273355	1.116254	0.26674200000000003	2813.878707	1.0625	13.928476000000002	26.635741999999997	16.137695	17.266845999999997	15.924072
282.5000000000056	0.077062	3.2736549999999998	1.115861	0.26671100000000003	2819.022383	1.07085	12.866318	26.574707	16.107178	17.419434	15.924072
